disease id	disease label	genes	phenotypes	labels
MONDO:0019200	retinitis pigmentosa	75	82	DHDDS|FSCN2|CNGB1|AGBL5|RPE65|NEK2|TOPORS|ARL6|PRPH2|POMGNT1|EYS|RBP3|TUB|CLRN1|BEST1|PDE6G|NR2E3|PCARE|ZNF513|PRPF4|MERTK|SCAPER|FAM161A|MAK|ABCA4|RPGR|RLBP1|RP2|IFT172|SNRNP200|TTC8|IDH3B|ROM1|PRPF8|PRCD|RGR|GUCA1B|CDHR1|RP1|PRPF3|BBS2|PRPF6|IMPG2|TULP1|CERKL|PROM1|OFD1|ARL2BP|KLHL7|PDE6A|ZNF408|SLC7A14|RHO|CNGA1|SPATA7|KIZ|HGSNAT|CA4|PDE6B|NRL|IMPDH1|CRB1|SAG|C8orf37|SEMA4A|ARHGEF18|IFT140|CRX|PRPF31|RDH12|LRAT|AHI1|USH2A|RP9|REEP6
MONDO:0019588	autosomal recessive nonsyndromic deafness	67	0	BDP1|BSND|LOXHD1|WBP2|LHFPL5|MYO3A|MSRB3|TBC1D24|HGF|TRIOBP|RDX|CLIC5|RIPOR2|GJB3|USH1C|S1PR2|GIPC3|GJA1|SERPINB6|ILDR1|MYO7A|PJVK|WHRN|CABP2|ADCY1|OTOA|ROR1|ELMOD3|MARVELD2|PTPRQ|OTOG|GJB2|PCDH15|ESPN|CDH23|TPRN|KARS|TECTA|EPS8|GRXCR1|DCDC2|GPSM2|MYO6|CLDN14|TMC1|COL11A2|TSPEAR|CDC14A|TMIE|OTOF|GRXCR2|OTOGL|TMPRSS3|EPS8L2|PNPT1|SLC26A5|CIB2|MYO15A|ESRRB|ATP2B2|SLC26A4|SYNE4|STRC|MET|SLITRK6|GJB6|LRTOMT
MONDO:0015470	familial isolated dilated cardiomyopathy	42	8	PSEN1|DMD|TPM1|SCN5A|CRYAB|RAF1|MYH7|ACTN2|ACTC1|MYBPC3|NEXN|TNNC1|SGCD|ABCC9|TXNRD2|FHL2|TMPO|TTN|NEBL|MYH6|VCL|BAG3|PSEN2|SDHA|CSRP3|TNNT2|TNNI3|DOLK|TAZ|TAF1A|LDB3|DES|DSG2|LAMA4|ANKRD1|GATAD1|FKTN|PRDM16|TCAP|MYPN|RBM20|PLN
MONDO:0019587	autosomal dominant nonsyndromic deafness	40	0	GJB6|MCM2|GJB3|ACTG1|TJP2|TBC1D24|MYH14|DIABLO|KCNQ4|MYO1C|DMXL2|POU4F3|OSBPL2|MYO1A|MIR96|MYO7A|CRYM|WFS1|SSBP1|P2RX2|EYA4|GRHL2|COCH|HOMER2|SLC44A4|CEACAM16|TECTA|CCDC50|DIAPH3|TMC1|GJB2|GSDME|KITLG|COL11A2|SIX1|MYO6|TNC|MYH9|CD164|SLC17A8
MONDO:0016575	primary ciliary dyskinesia	38	26	GAS8|DNAJB13|CCDC151|CCDC40|STK36|DNAL1|CCDC114|CCNO|RSPH4A|LRRC6|RSPH3|OFD1|DNAAF5|CCDC39|DNAH5|ARMC4|HYDIN|DNAI2|DNAAF4|TTC25|SPAG1|PIH1D3|DNAH1|ZMYND10|NME8|DNAAF2|CCDC65|RSPH1|DRC1|MCIDAS|RPGR|RSPH9|DNAAF3|CCDC103|DNAH11|DNAAF1|CFAP298|DNAI1
MONDO:0019502	autosomal recessive non-syndromic intellectual disability	38	0	PIGC|WARS2|C12orf4|DCPS|PGAP1|EDC3|SLC45A1|PRSS12|TUSC3|MED25|MED23|NSUN2|TRAPPC9|WASHC4|LMAN2L|SARS|MBOAT7|CRBN|GRIK2|MAN1B1|CLIP1|EZR|FRRS1L|ZC3H14|FMN2|CC2D1A|FBXO31|METTL23|ST3GAL3|HNMT|TECR|AIMP1|LINS1|MED13L|CRADD|B3GALNT2|NDST1|TNIK
MONDO:0004976	amyotrophic lateral sclerosis	36	83	NEFH|GLE1|DAO|UBQLN2|C9orf72|ANXA11|FIG4|SQSTM1|TAF15|TBK1|PON2|FUS|PFN1|MATR3|HNRNPA1|DCTN1|VAPB|CFAP410|UNC13A|PON1|PPARGC1A|TREM2|CHMP2B|CHCHD10|ATXN2|EPHA4|TARDBP|ANG|OPTN|SOD1|VCP|CCNF|NEK1|ERBB4|PON3|PRPH
MONDO:0018614	undetermined early-onset epileptic encephalopathy	33	0	NUS1|HCN1|AARS|SLC13A5|ARV1|EEF1A2|CYFIP2|YWHAG|UBA5|PPP3CA|STXBP1|SLC1A2|ATP6V1A|SCN8A|SCN3A|CLTC|KCNA2|CACNA1A|GABRB2|WWOX|SYNGAP1|NTRK2|DHDDS|FGF12|SZT2|DNM1|TRAK1|SYNJ1|NECAP1|GRIN2D|KCNB1|CNKSR2|AP3B2
MONDO:0019181	non-syndromic X-linked intellectual disability	32	1	TSPAN7|CNKSR2|ALG13|DMD|SYP|CXorf56|IQSEC2|ARHGEF6|MED12|GDI1|RLIM|PTCHD1|RAB39B|RPS6KA3|HCFC1|FRMPD4|MECP2|MID2|USP27X|ACSL4|USP9X|IL1RAPL1|AGTR2|CLCN4|UPF3B|ZNF81|FTSJ1|PAK3|ZNF41|ZNF711|ARX|DLG3
MONDO:0007455	diabetes mellitus, noninsulin-dependent	29	2	HMGA1|ABCC8|MTNR1B|HNF1B|SLC2A2|MAPK8IP1|PTPN1|HNF4A|NEUROD1|PPP1R3A|WFS1|PPARG|LIPC|TCF7L2|SLC30A8|IL6|IGF2BP2|AKT2|IRS2|PAX4|GCGR|GCK|RETN|KCNJ11|PDX1|ENPP1|GPD2|IRS1|HNF1A
